Rank,StateName,Population2019,Population2010,"Total seats in the U.S. House of Representatives, 2013–2023","Population per electoral vote, 2019","Population per House seat, 2019","Census population per House seat, 2010"
1,California,39512223,37254523,53,718404,745514,702885
2,Texas,28995881,25145561,36,763050,805441,698503
3,Florida,21477737,18801310,27,740611,795472,696468
4,New York,19453561,19378102,27,670812,720502,717707
5,Pennsylvania,12801989,12702379,18,640099,711222,705715
6,Illinois,12671821,12830632,18,633591,703990,712864
7,Ohio,11689100,11536504,16,649394,730569,721032
8,Georgia,10617423,9687653,14,663589,758387,691975
9,North Carolina,10488084,9535483,13,699206,806776,733498
10,Michigan,9986857,9883640,14,624179,713347,705974
11,New Jersey,8882190,8791894,12,634442,740183,732658
12,Virginia,8535519,8001024,11,656578,775956,727366
13,Washington,7614893,6724540,10,634574,751489,672454
14,Arizona,7278717,6392017,9,661702,808746,710224
15,Massachusetts,6949503,6547629,9,626591,765834,727514
16,Tennessee,6833174,6346105,9,620834,758797,705123
17,Indiana,6732219,6483802,9,612020,748024,720422
18,Missouri,6137428,5988927,8,613743,767179,748615
19,Maryland,6045680,5773552,8,604568,755710,721694
20,Wisconsin,5822434,5686986,8,582243,727804,710873
21,Colorado,5758736,5029196,7,639860,822677,720704
22,Minnesota,5639632,5303925,8,563963,704954,662991
23,South Carolina,5148714,4625364,7,572079,735531,660766
24,Alabama,4903185,4779736,7,544798,700455,682819
25,Louisiana,4648794,4533372,6,581099,774799,755562
26,Kentucky,4467673,4339367,6,558459,744612,723228
27,Oregon,4217737,3831074,5,602534,843547,766215
28,Oklahoma,3956971,3751351,5,565282,791394,750270
29,Connecticut,3565287,3574097,5,509327,713057,714824
30,Utah,3205958,2763885,4,534326,801490,690972
32,Iowa,3155070,3046355,4,525845,788768,761717
31,Puerto Rico,3193694,3725789,1,0,3193694,3725789
33,Nevada,3080156,2700551,4,513359,770039,675173
34,Arkansas,3017825,2915918,4,502967,754451,728990
35,Mississippi,2976149,2967297,4,496024,744037,742026
36,Kansas,2913314,2853118,4,485552,728329,713280
37,New Mexico,2096829,2059179,3,419366,698943,686393
38,Nebraska,1934408,1826341,3,386882,644803,608780
39,Idaho,1787065,1567582,2,446516,893033,783826
40,West Virginia,1792147,1852994,3,358435,597391,617670
41,Hawaii,1415872,1360301,2,353968,707936,680151
42,New Hampshire,1359711,1316470,2,339928,679856,658233
43,Maine,1344212,1328361,2,336053,672106,664181
44,Montana,1068778,989415,1,356259,1068778,989417
45,Rhode Island,1059361,1052567,2,264840,529681,526466
46,Delaware,973764,897934,1,324588,973764,897934
47,South Dakota,884659,814180,1,294886,884659,814180
48,North Dakota,762062,672591,1,254021,762062,672591
49,Alaska,731545,710231,1,243848,731545,710231
50,District Of Columbia,705749,601723,0,235250,0,0
51,Vermont,623989,625741,1,207996,623989,625741
52,Wyoming,578759,563626,1,192920,578759,563626
53,Guam,165718,159358,0,0,0,0
54,US Virgin Islands,104914,106405,0,0,0,0
55,American Samoa,55641,55519,0,0,0,0
56,Northern Mariana Islands,55194,53883,0,0,0,0
-1,Total,331814684,312846492,435,,,
