notebook_id,figure_id,title,commentary,scopes,tags,priority,highlight,hide
covid19_world,output_3_0.png,Global Death rates,should get flatter,,deaths,15,1,
covid19_world,output_5_0.png,Trend in Global Cases,how different cultures handle it,,cases,20,,
covid19_world,output_6_0.png,Global Cases,most countries are just shifted,,cases,25,,
covid19_world,output_11_0.png,Trends in Infection Rates,differences in share of infection,,cases,10,,
covid19_world,output_13_0.png,Cases per 1M people,largest infection shares,,cases,11,,
covid19_world,output_15_0.png,Deaths per 1M people,largest death shares,,deaths,12,,
us_data,output_4_0.png,US Cases,The US took the lead,us,cases,41,,
us_data,output_6_0.png,US Deaths,About to overtake Italy,us,deaths,42,,
us_data,output_11_0.png,Trends in US States,how states are behaving,us,cases,43,1,
us_data,output_13_0.png,US Cases by State,most States are just shifted,us,cases,44,,
us_data,output_15_0.png,US Death rate by State,"currently between 1 and 4%, as nominal",us,deaths,45,,
predictions,output_6_0.png,Projection: Italy Cases,simplified,it,"cases,forecast",80,,
predictions,output_6_1.png,Projection: Italy Deaths,simplified,it,"deaths,forecast",85,,
predictions,output_6_2.png,Projection: South Korea Cases,simplified,kr,"cases,forecast",83,,
predictions,output_6_3.png,Projection: South Korea Deaths,simplified,kr,"deaths,forecast",88,,
predictions,output_6_4.png,Projection: Chinese Cases,simplified,cn,"cases,forecast",82,,
predictions,output_6_5.png,Projection: Chinese Deaths,simplified,cn,"deaths,forecast",87,,
predictions,output_6_6.png,Projection: US Cases,simplified,us,"cases,forecast",81,,
predictions,output_6_7.png,Projection: US Deaths,simplified,us,"deaths,forecast",86,,
predictions,output_6_8.png,Projection: India Cases,simplified,in,"cases,forecast",87,,
predictions,output_6_9.png,Projection: India Deaths,simplified,in,"deaths,forecast",88,,
predictions,output_6_10.png,Projection: Brazil Cases,simplified,br,"cases,forecast",89,,
predictions,output_6_11.png,Projection: Brazil Deaths,simplified,br,"deaths,forecast",90,,
